benchmark_name:Zaleplon MPO, top1:0.8346904102646913, top10:0.809181653136462, top100:0.7955020360467603, global_score:0.8131246998159711
execution_time:12108.918777942657, number_scoring_function_calls:0
internal_similarity_max:0.864406779661017, internal_similarity_mean:0.7222027824211975
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[CH-]O)cnn23)c1', 0.8346904102646913)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[O])cnn23)c1', 0.8346904102646913)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[O-])cnn23)c1', 0.8346904102646913)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=O)cnn23)c1', 0.803969143692053)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(CC#C[O])cnn23)c1', 0.7979588156572291)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(CC#C[O-])cnn23)c1', 0.7979588156572291)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C=C=C[O])cnn23)c1', 0.7979588156572291)
('CCCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[O])cnn23)c1', 0.7979588156572291)
('CCCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[O-])cnn23)c1', 0.7979588156572291)
('[C-]C[P-]#Cc1cnn2c(-c3cccc(N(CC)C(C)=O)c3)ccnc12', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Si]C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[SiH]=C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[SiH]=C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Si-]C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Si-]4C=C4)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Si-2]C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Si-2]C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Se]=CO)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[SeH]=C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[SeH]=C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Se-]C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[Se-]4C=C4)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[S-]=CO)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[S-2]C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[P]C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[PH]4=CO4)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[PH-]C=O)cnn23)c1', 0.793982078592347)
